ACCNUM,ObjectId,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY
893251,11,Pedestrian,20 to 24,2,NULL,North,Other,NULL,NULL,NULL,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Normal,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
896606,12,Passenger,55 to 59,4,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
896606,13,Vehicle Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
896606,14,Passenger,0 to 4,3,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
896606,15,Driver,25 to 29,3,NULL,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
896606,16,Driver,65 to 69,4,NULL,East,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
896606,17,Vehicle Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
896606,18,Driver,35 to 39,1,NULL,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
896606,19,Vehicle Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
896606,20,Driver,25 to 29,4,NULL,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
894953,21,Driver,25 to 29,1,NULL,West,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
894953,22,Pedestrian,60 to 64,4,NULL,South,Other,NULL,NULL,NULL,Pedestrian hit a PXO/ped. Mid-block signal,"Crossing, Pedestrian Crossover",Medical or Physical Disability,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
897335,23,Driver,40 to 44,1,NULL,South,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
897335,24,Pedestrian,50 to 54,4,NULL,West,Other,NULL,NULL,NULL,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
897348,25,Driver,40 to 44,1,NULL,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
897348,26,Pedestrian,20 to 24,4,NULL,North,Other,NULL,NULL,NULL,Vehicle is going straight thru inter.while ped cross without ROW,Running onto Roadway,Inattentive,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
893720,27,Driver,25 to 29,1,NULL,West,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Had Been Drinking,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
893720,28,Passenger,15 to 19,5,NULL,NULL,Other,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
893720,29,Passenger,20 to 24,4,NULL,NULL,Other,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
893720,30,Passenger,15 to 19,4,NULL,NULL,Other,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
893720,31,Vehicle Owner,unknown,1,NULL,NULL,Other,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
893720,32,Driver,15 to 19,5,NULL,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
908179,33,Driver,25 to 29,1,NULL,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,Yes,NULL
908179,34,Driver,20 to 24,4,NULL,East,"Automobile, Station Wagon",Making U Turn,Failed to Yield Right of Way,"Ability Impaired, Alcohol",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,Yes,NULL
897456,35,Passenger,25 to 29,4,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,Yes,Yes,NULL,NULL,NULL
897456,36,Driver,25 to 29,3,NULL,West,"Automobile, Station Wagon",Going Ahead,Lost control,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,Yes,Yes,NULL,NULL,NULL
897456,37,Other Property Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,Yes,Yes,NULL,NULL,NULL
898163,38,Driver,25 to 29,4,NULL,West,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
898163,39,Driver,40 to 44,3,NULL,East,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Inattentive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
898163,40,Passenger,80 to 84,4,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
898163,41,Passenger,50 to 54,3,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
898163,42,Driver,50 to 54,4,NULL,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
898163,43,Driver,20 to 24,1,NULL,West,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
893964,44,Driver,20 to 24,1,NULL,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
893964,45,Pedestrian,60 to 64,4,NULL,NULL,Other,NULL,NULL,NULL,Other / Undefined,Running onto Roadway,Normal,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
894030,46,Passenger,20 to 24,5,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
894030,47,Driver,25 to 29,4,NULL,North,"Automobile, Station Wagon",Slowing or Stopping,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
894030,48,Driver,30 to 34,1,NULL,North,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Inattentive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
894423,49,Driver,50 to 54,1,NULL,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes
894423,50,Driver,70 to 74,4,NULL,South,"Automobile, Station Wagon",Going Ahead,Lost control,Medical or Physical Disability,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes
894423,51,Other,unknown,1,NULL,NULL,Other,Parked,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes
898778,52,Vehicle Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL
898778,53,Passenger,40 to 44,3,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL
898778,54,Driver,45 to 49,1,NULL,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL
898778,55,Vehicle Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL
898778,56,Driver,15 to 19,4,NULL,North,"Automobile, Station Wagon",Making U Turn,Other,Inattentive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL
894735,57,Driver,unknown,1,NULL,NULL,"Automobile, Station Wagon",Unknown,Failed to Yield Right of Way,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
894735,58,Pedestrian,25 to 29,4,NULL,NULL,Other,NULL,NULL,NULL,Pedestrian hit at mid-block,Other,Unknown,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
899126,59,Driver,35 to 39,4,NULL,North,"Automobile, Station Wagon",Going Ahead,Lost control,Had Been Drinking,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
899126,60,Other Property Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
899126,61,Other Property Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
899369,62,Driver,45 to 49,1,NULL,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
899369,63,Pedestrian,70 to 74,4,NULL,North,Other,NULL,NULL,NULL,Pedestrian hit at mid-block,Crossing with right of way,Normal,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
899537,64,Vehicle Owner,unknown,NULL,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,Yes,Yes,NULL,NULL,NULL
899537,65,Passenger,30 to 34,4,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,Yes,Yes,NULL,NULL,NULL
899537,66,Driver,30 to 34,1,NULL,North,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,Yes,Yes,NULL,NULL,NULL
899537,67,Vehicle Owner,unknown,NULL,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,Yes,Yes,NULL,NULL,NULL
899537,68,Driver,30 to 34,1,NULL,North,"Automobile, Station Wagon",Overtaking,Lost control,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,Yes,Yes,NULL,NULL,NULL
895615,69,Driver,50 to 54,5,NULL,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
895615,70,Passenger,25 to 29,5,NULL,East,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
895615,71,Passenger,25 to 29,5,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
895615,72,Driver,20 to 24,4,NULL,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
895615,73,Driver,25 to 29,5,NULL,East,"Automobile, Station Wagon",Going Ahead,Following too Close,Inattentive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
895615,74,Driver,30 to 34,1,NULL,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
895818,75,Driver,55 to 59,4,NULL,South,"Automobile, Station Wagon",Going Ahead,Lost control,Medical or Physical Disability,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes
895818,76,Other Property Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes
899747,77,Driver,50 to 54,1,NULL,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
899747,78,Pedestrian,75 to 79,4,NULL,West,Other,NULL,NULL,NULL,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Normal,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
895926,79,Vehicle Owner,unknown,NULL,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL
895926,80,Driver,40 to 44,4,NULL,South,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol Over .08",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL
897350,87,Vehicle Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
896072,81,Driver,60 to 64,1,NULL,North,"Automobile, Station Wagon",Turning Right,Other,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
896072,82,Pedestrian,15 to 19,4,NULL,NULL,Other,NULL,NULL,NULL,Vehicle turns right while ped crosses without ROW at inter.,Running onto Roadway,Normal,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
899910,83,Driver,45 to 49,1,NULL,South,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
899910,84,Cyclist,25 to 29,4,NULL,South,Bicycle,Going Ahead,NULL,NULL,NULL,NULL,NULL,Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.,Other,Inattentive,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
899914,85,Driver,15 to 19,1,NULL,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
899914,86,Pedestrian,60 to 64,4,NULL,South,Other,Other,NULL,NULL,Vehicle hits the pedestrian walking or running out from between parked vehicles at mid-block,Coming From Behind Parked Vehicle,Unknown,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
897350,88,Driver,40 to 44,1,NULL,East,"Automobile, Station Wagon",Slowing or Stopping,Speed too Fast For Condition,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
897350,89,Vehicle Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
897350,90,Driver,55 to 59,4,NULL,East,Other,Slowing or Stopping,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
900010,91,Vehicle Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
900010,92,Motorcycle Driver,30 to 34,4,NULL,North,Motorcycle,Turning Right,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
900242,93,Driver,55 to 59,1,NULL,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
900242,94,Motorcycle Driver,40 to 44,4,NULL,East,Motorcycle,Changing Lanes,Following too Close,Inattentive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
900284,95,Driver,45 to 49,1,NULL,East,"Automobile, Station Wagon",Going Ahead,Following too Close,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
900284,96,Driver,60 to 64,4,NULL,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
900285,97,Motorcycle Driver,40 to 44,4,NULL,South,Motorcycle,Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
900285,98,Driver,40 to 44,1,NULL,South,"Automobile, Station Wagon",Turning Left,Improper Lane Change,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
900307,99,Driver,55 to 59,3,NULL,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
900307,100,Driver,25 to 29,4,NULL,West,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
901141,101,Driver,40 to 44,3,NULL,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes
920927,102,Driver,unknown,1,NULL,West,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
901141,103,Driver,25 to 29,3,NULL,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes
901141,104,Driver,90 to 94,4,NULL,North,"Automobile, Station Wagon",Turning Left,Improper Turn,Medical or Physical Disability,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes
