ACCNUM,INVTYPE,INVAGE,INJURY_ID,VEHTYPE,SPEEDING,REDLIGHT,ALCOHOL,YEAR,DATE,TIME,HOUR,STREET1,STREET2,ROAD_CLASS_ID,LOCCOORD,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,Longitude,Latitude,Month,Day_of_Week
133203,Driver,60 to 64,4.0,"Automobile, Station Wagon",,,,2020,2020-01-20,940,9,F G GARDINER XY  W,YONGE ST,8.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,-79.3751,43.6445,January,Monday
136270,Driver,45 to 49,1.0,Municipal Transit Bus (TTC),,,,2020,2020-01-20,1658,16,ISLINGTON AVE,BROMLEY CRES,1.0,Intersection,No Control,Clear,Daylight,Loose Snow,Non-Fatal Injury,Pedestrian Collisions,-79.5312,43.6626,January,Monday
139578,Truck Driver,50 to 54,1.0,Truck-Tractor,,,,2020,2020-01-21,701,7,ALNESS ST,SUPERTEST RD,3.0,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,-79.4744,43.7767,January,Tuesday
144397,Driver,65 to 69,4.0,"Automobile, Station Wagon",,,,2020,2020-01-21,1900,19,OAKWOOD AVE,VAUGHAN RD,3.0,Intersection,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Turning Movement,-79.4408,43.6925,January,Tuesday
169709,Truck Driver,25 to 29,4.0,"Truck - Closed (Blazer, etc)",,,,2020,2020-01-25,505,5,F G GARDINER XY  W,LOWER SHERBOURNE ST,8.0,Mid-Block,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,SMV Other,-79.3671,43.6463,January,Saturday
180484,Driver,55 to 59,1.0,"Automobile, Station Wagon",,,,2020,2020-01-26,1932,19,KINGSTON RD,WEST HILL DR,1.0,Intersection,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,-79.1817,43.7742,January,Sunday
187607,Driver,50 to 54,1.0,"Automobile, Station Wagon",,,,2020,2020-01-27,1817,18,MORNINGSIDE AVE,401 C E MORNINGSIDE AVE S RAMP,1.0,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,-79.1965,43.7953,January,Monday
188526,Pedestrian,75 to 79,2.0,,,,,2020,2020-01-27,2030,20,3775 DUNDAS ST W,,1.0,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,-79.4998,43.6653,January,Monday
202070,Pedestrian,60 to 64,2.0,,,,,2020,2020-01-29,1634,16,LAWRENCE AVE E,DON MILLS RD,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,-79.3445,43.7368,January,Wednesday
212688,Truck Driver,25 to 29,1.0,Truck - Tank,,,,2020,2020-01-31,415,4,SHEPPARD AVE W,WILLIAM R ALLEN RD,1.0,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4633,43.7501,January,Friday
213617,Driver,60 to 64,1.0,Street Car,,,,2020,2020-01-31,845,8,LAKE SHORE BLVD W,KIPLING AVE,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Other,-79.5174,43.598,January,Friday
214205,Driver,40 to 44,1.0,"Automobile, Station Wagon",,,,2020,2020-01-31,1014,10,DANFORTH AVE,PAPE AVE,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3448,43.6788,January,Friday
220239,Driver,35 to 39,5.0,"Automobile, Station Wagon",,,,2020,2020-02-01,231,2,YONGE ST,KING ST W,1.0,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3778,43.649,February,Saturday
220521,Driver,20 to 24,5.0,"Automobile, Station Wagon",Yes,,Yes,2020,2020-02-01,406,4,ST CLAIR AVE W,ATLAS AVE,1.0,Intersection,No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Rear End,-79.4306,43.6805,February,Saturday
231164,Driver,50 to 54,4.0,"Automobile, Station Wagon",,,,2020,2020-02-02,1756,17,KEELE ST,GULLIVER RD,1.0,Intersection,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Approaching,-79.4759,43.6992,February,Sunday
245690,Driver,20 to 24,5.0,"Automobile, Station Wagon",Yes,,,2020,2020-02-04,1541,15,PHARMACY AVE,DONSIDE DR,3.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,-79.2872,43.7013,February,Tuesday
270261,Driver,50 to 54,1.0,"Automobile, Station Wagon",,,,2020,2020-02-07,1915,19,JANE ST,BEVERLY HILLS DR,1.0,Intersection,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,SMV Other,-79.5081,43.719,February,Friday
296685,Driver,55 to 59,1.0,Passenger Van,,,,2020,2020-02-11,1355,13,BATHURST ST,STORMONT AVE,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4295,43.7183,February,Tuesday
316011,Driver,30 to 34,1.0,"Automobile, Station Wagon",,,,2020,2020-02-13,2345,23,BAY ST,LAKE SHORE BLVD W,8.0,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3777,43.6429,February,Thursday
332841,Driver,70 to 74,1.0,"Automobile, Station Wagon",,,,2020,2020-02-16,1130,11,STEELES AVE E,CONACHER DR,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,-79.4016,43.802,February,Sunday
342262,Driver,35 to 39,3.0,"Automobile, Station Wagon",,,,2020,2020-02-17,1949,19,LAKE SHORE BV W,THIRTY NINTH ST,1.0,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,-79.5282,43.5956,February,Monday
348999,Driver,75 to 79,5.0,"Automobile, Station Wagon",,,,2020,2020-02-18,1818,18,4673 JANE ST,,1.0,Mid-Block,No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,SMV Other,-79.5206,43.77,February,Tuesday
374527,Driver,30 to 34,3.0,"Automobile, Station Wagon",Yes,,,2020,2020-02-22,320,3,GRANDRAVINE DR,FUTURA DR,,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,-79.5068,43.7486,February,Saturday
382209,Driver,45 to 49,4.0,"Automobile, Station Wagon",,Yes,,2020,2020-02-23,707,7,DON MILLS RD,LAWRENCE AVE E,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,-79.3434,43.7371,February,Sunday
385373,Driver,55 to 59,1.0,"Automobile, Station Wagon",,,,2020,2020-02-23,1655,16,VICTORIA PARK AVE,HUNTINGWOOD DR,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,-79.3253,43.7802,February,Sunday
401654,Driver,55 to 59,1.0,"Automobile, Station Wagon",,,,2020,2020-02-25,2105,21,ST CLAIR AVE W,OLD WESTON RD,1.0,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,-79.463,43.6734,February,Tuesday
418177,Driver,45 to 49,1.0,"Automobile, Station Wagon",,,,2020,2020-02-28,650,6,SHERBOURNE ST,KING ST E,1.0,Intersection,Traffic Signal,Clear,Dawn,Dry,Non-Fatal Injury,SMV Other,-79.3682,43.6511,February,Friday
418513,Driver,55 to 59,1.0,"Automobile, Station Wagon",,,,2020,2020-02-28,810,8,YONGE ST,EMPRESS AVE,1.0,Intersection,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.4128,43.7692,February,Friday
429600,Driver,55 to 59,1.0,"Automobile, Station Wagon",,Yes,,2020,2020-02-29,1716,17,FINCH AVE W,SILVERSTONE DR,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.5949,43.7359,February,Saturday
437574,Driver,35 to 39,1.0,Municipal Transit Bus (TTC),,,,2020,2020-03-01,2100,21,WILSON AVE,PETHERHILL  AVE,1.0,Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Other,-79.491,43.7245,March,Sunday
442335,Driver,50 to 54,1.0,Pick Up Truck,,,,2020,2020-03-02,1410,14,GERRARD ST E,BLANTYRE AVE,3.0,Intersection,Pedestrian Crossover,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.2839,43.6873,March,Monday
444225,Driver,55 to 59,1.0,Passenger Van,,,,2020,2020-03-02,1815,18,KEELE ST,ST REGIS CRES,1.0,Intersection,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.4887,43.7544,March,Monday
450742,Driver,55 to 59,1.0,"Automobile, Station Wagon",,,,2020,2020-03-03,1520,15,GERRARD ST E,NORWOOD RD,3.0,Intersection,Pedestrian Crossover,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.3028,43.6832,March,Tuesday
450834,Driver,35 to 39,1.0,"Automobile, Station Wagon",,,,2020,2020-03-03,1532,15,BLOOR ST W,BRENTWOOD RD S,1.0,Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.5135,43.6468,March,Tuesday
451712,Driver,65 to 69,1.0,"Automobile, Station Wagon",,,,2020,2020-03-03,1726,17,SCARLETT RD,EDENBRIDGE DR,3.0,Intersection,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Turning Movement,-79.5088,43.6806,March,Tuesday
474338,Driver,60 to 64,1.0,"Bus (Other) (Go Bus, Gray Coach)",,,,2020,2020-03-06,1352,13,GERRARD ST E,MAIN ST,3.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3001,43.6838,March,Friday
484297,Driver,40 to 44,4.0,Municipal Transit Bus (TTC),,,,2020,2020-03-07,1940,19,HUMBER BLVD,LOUVAIN ST,2.0,Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Other,-79.482,43.6805,March,Saturday
488737,Motorcycle Driver,20 to 24,2.0,Motorcycle,,,,2020,2020-03-08,1400,14,NORTH BONNINGTON AVE,ZENITH DR,4.0,Intersection,No Control,Clear,Daylight,Wet,Fatal,Other,-79.2643,43.7122,March,Sunday
500879,Driver,40 to 44,1.0,"Automobile, Station Wagon",,,,2020,2020-03-10,632,6,ST CLAIR AVE W,CHRISTIE ST,1.0,Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,SMV Other,-79.4256,43.6816,March,Tuesday
500922,Driver,35 to 39,1.0,"Automobile, Station Wagon",,,,2020,2020-03-10,644,6,FRONT ST E,PARLIAMENT ST,3.0,Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.3626,43.6514,March,Tuesday
522896,Driver,55 to 59,1.0,"Automobile, Station Wagon",,,Yes,2020,2020-03-13,27,0,QUEEN ST E,BROADVIEW AVE,1.0,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3498,43.6588,March,Friday
540779,Cyclist,50 to 54,4.0,Bicycle,,,,2020,2020-03-15,1523,15,BRIMLEY RD,KINGSTON RD,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.2403,43.7181,March,Sunday
562879,Driver,unknown,1.0,"Automobile, Station Wagon",,,,2020,2020-03-18,2105,21,KINGSTON ROAD,BEECHGROVE DR,1.0,Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.1735,43.7764,March,Wednesday
565895,Driver,45 to 49,4.0,"Automobile, Station Wagon",,,,2020,2020-03-19,1220,12,MCCOWAN RD,MILNER AVE,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,-79.2564,43.7853,March,Thursday
568837,Driver,20 to 24,1.0,"Automobile, Station Wagon",,,,2020,2020-03-19,2110,21,CUMMER AVE,YONGE ST,1.0,Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,-79.4173,43.7869,March,Thursday
568853,Driver,25 to 29,4.0,"Automobile, Station Wagon",,,,2020,2020-03-19,2116,21,BROADVIEW AVE,MONTCREST BLVD,3.0,Intersection,Stop Sign,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Turning Movement,-79.356,43.6731,March,Thursday
598639,Driver,60 to 64,1.0,"Automobile, Station Wagon",,,,2020,2020-03-25,524,5,O'CONNOR DR,SUNRISE AVE,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3044,43.7188,March,Wednesday
602902,Driver,40 to 44,1.0,"Automobile, Station Wagon",,,,2020,2020-03-25,2032,20,STEELES AVE E,KELVIN GROVE AVE,1.0,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,-79.3122,43.8224,March,Wednesday
608251,Driver,35 to 39,4.0,"Automobile, Station Wagon",,,,2020,2020-03-26,1845,18,LASCELLES BLVD,FROBISHER AVE,4.0,Intersection,Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,-79.4001,43.6964,March,Thursday
623949,Driver,25 to 29,1.0,"Automobile, Station Wagon",,,,2020,2020-03-29,1535,15,MARINE PARADE DR,SHORE BREEZE  DR,2.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.4779,43.6237,March,Sunday
627897,Truck Driver,40 to 44,1.0,Truck - Dump,Yes,,,2020,2020-03-30,945,9,KEELE ST,LAWRENCE AVE W,1.0,Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.478,43.7085,March,Monday
656670,Driver,25 to 29,2.0,"Automobile, Station Wagon",,,,2020,2020-04-03,2310,23,STEELES AVE W,ISLINGTON AVE,1.0,Mid-Block,No Control,Clear,"Dark, artificial",Wet,Fatal,Turning Movement,-79.5798,43.7622,April,Friday
657926,Driver,25 to 29,1.0,"Automobile, Station Wagon",Yes,,,2020,2020-04-04,715,7,HINTON RD,HAREFIELD DR,4.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.5695,43.7265,April,Saturday
658260,Driver,20 to 24,4.0,"Automobile, Station Wagon",,Yes,,2020,2020-04-04,917,9,KEELE ST,SHEPPARD AVE W,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,-79.4864,43.7447,April,Saturday
772626,Driver,75 to 79,1.0,Passenger Van,,,,2020,2020-04-23,1323,13,YONGE ST,BELSIZE DR,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,-79.3969,43.7002,April,Thursday
778481,Cyclist,55 to 59,4.0,Bicycle,,,,2020,2020-04-24,1345,13,347 MORNINGSIDE AVE,,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.1892,43.7759,April,Friday
780152,Driver,60 to 64,1.0,"Automobile, Station Wagon",,,,2020,2020-04-23,1030,10,KEELE ST,WILSON AVE,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,-79.482,43.7265,April,Thursday
806061,Driver,30 to 34,1.0,Pick Up Truck,,,,2020,2020-04-29,858,8,KENNEDY RD,ELLESMERE RD,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.281,43.7657,April,Wednesday
819828,Driver,20 to 24,1.0,"Automobile, Station Wagon",,,,2020,2020-05-01,1452,14,DUNDAS ST E,PEMBROKE ST,1.0,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3723,43.658,May,Friday
823448,Driver,50 to 54,1.0,"Automobile, Station Wagon",,,,2020,2020-05-02,459,4,CRAWFORD ST,DUNDAS ST W,4.0,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4167,43.6493,May,Saturday
825994,Driver,30 to 34,1.0,"Automobile, Station Wagon",,,,2020,2020-05-02,1538,15,12 QUEENS QUAY W,,3.0,Mid-Block,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Cyclist Collisions,-79.3759,43.6413,May,Saturday
826306,Driver,50 to 54,4.0,"Automobile, Station Wagon",Yes,Yes,,2020,2020-05-02,1632,16,DUNDAS ST W,BLOOR ST W,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,-79.4524,43.6563,May,Saturday
827861,Driver,50 to 54,4.0,"Automobile, Station Wagon",Yes,,,2020,2020-05-02,2153,21,BRENTCLIFFE RD,EGLINTON AV E,,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,-79.3574,43.7151,May,Saturday
838759,Driver,40 to 44,4.0,Delivery Van,,Yes,,2020,2020-05-04,1847,18,THE QUEENSWAY,STEPHEN DR,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.4842,43.6303,May,Monday
849955,Driver,35 to 39,1.0,"Automobile, Station Wagon",,,,2020,2020-05-06,1627,16,SPADINA AVE,BLUE JAYS WAY,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3933,43.6412,May,Wednesday
865160,Driver,35 to 39,1.0,Pick Up Truck,,,,2020,2020-05-09,700,7,KINGSTON RD,SCARBOROUGH GOLF CLUB RD,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.2093,43.7459,May,Saturday
882024,Driver,50 to 54,2.0,"Automobile, Station Wagon",,,,2006,2006-01-07,2325,23,STEELES AVE E,NINTH LINE ST,3.0,Mid-Block,No Control,Clear,Dark,Wet,Fatal,Approaching,-79.2247,43.8427,January,Saturday
882079,Driver,50 to 54,1.0,"Automobile, Station Wagon",,,,2006,2006-01-06,2210,22,DON MILLS RD,LEITH HILL RD,1.0,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3478,43.777,January,Friday
882174,Vehicle Owner,unknown,,Other,,,,2006,2006-01-09,1435,14,KENNEDY RD,GLAMORGAN AVE,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,-79.2822,43.7694,January,Monday
882497,Passenger,20 to 24,1.0,Other,,,,2006,2006-01-08,1828,18,ISLINGTON AVE,GOLFDOWN DR,1.0,Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,-79.558,43.7214,January,Sunday
882501,Passenger,15 to 19,5.0,Other,Yes,,,2006,2006-01-11,1120,11,BARTLEY DR,JINNAH CRT,2.0,Intersection,No Control,Clear,Daylight,Wet,Fatal,SMV Other,-79.3079,43.722,January,Wednesday
882912,Vehicle Owner,unknown,,Other,Yes,,,2006,2006-01-14,904,9,WESTON RD,CORONADO CRT,1.0,Mid-Block,Pedestrian Crossover,Strong wind,Daylight,Ice,Non-Fatal Injury,Pedestrian Collisions,-79.5398,43.741,January,Saturday
884090,Driver,30 to 34,1.0,"Automobile, Station Wagon",,,,2006,2006-01-02,705,7,BATHURST ST,DUNDAS ST W,1.0,Mid-Block,No Control,Other,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,-79.4062,43.6528,January,Monday
884135,Driver,80 to 84,3.0,"Automobile, Station Wagon",,,,2006,2006-01-10,804,8,BRIMLEY RD,GULLY DR,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,-79.2512,43.7436,January,Tuesday
884310,Pedestrian,20 to 24,4.0,Other,,,,2006,2006-01-22,230,2,460 CORONATION DR,,2.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.1703,43.765,January,Sunday
884326,Pedestrian,85 to 89,4.0,Other,,,,2006,2006-01-22,1800,18,YONGE ST,CUMBERLAND ST,1.0,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3871,43.6711,January,Sunday
884560,Passenger,35 to 39,4.0,Other,Yes,,,2006,2006-01-24,145,1,WARDEN AVE,LAWRENCE AVE E,1.0,Intersection,Traffic Signal,Clear,Dawn,Dry,Fatal,Angle,-79.2946,43.7453,January,Tuesday
884714,Passenger,15 to 19,5.0,Other,Yes,,,2006,2006-01-24,2220,22,MOUNT PLEASANT RD,WHITEHALL RD,1.0,Intersection,No Control,Rain,Dark,Wet,Fatal,Turning Movement,-79.3834,43.684,January,Tuesday
884756,Driver,40 to 44,1.0,"Automobile, Station Wagon",,,,2006,2006-01-24,754,7,DEAN PARK RD,BRAYMORE BLVD,2.0,Intersection,Stop Sign,Clear,Daylight,Wet,Fatal,Pedestrian Collisions,-79.1706,43.8034,January,Tuesday
885650,Driver,20 to 24,1.0,"Automobile, Station Wagon",,,,2006,2006-01-29,2048,20,F G GARDINER XY W  W,KIPLING AVE,,Mid-Block,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,-79.5243,43.6182,January,Sunday
885782,Driver,25 to 29,1.0,"Automobile, Station Wagon",,,,2006,2006-01-04,1940,19,DUFFERIN ST,SYLVAN AVE,1.0,Mid-Block,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.4335,43.6551,January,Wednesday
886039,Vehicle Owner,unknown,,,,,,2006,2006-01-09,1820,18,FINCH AVE E,MIDDLEFIELD RD,1.0,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,-79.2576,43.8098,January,Monday
886175,Motorcycle Driver,30 to 34,2.0,Motorcycle,,,,2020,2020-05-12,2109,21,TAPSCOTT RD,MELFORD DR,3.0,Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,SMV Other,-79.2341,43.8079,May,Tuesday
886230,Driver,25 to 29,1.0,"Automobile, Station Wagon",Yes,,,2006,2006-01-21,1829,18,MIDLAND AVE,GOODLAND GT,1.0,Intersection,No Control,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,-79.2755,43.7793,January,Saturday
886552,Driver,25 to 29,1.0,"Automobile, Station Wagon",,,,2006,2006-01-15,1812,18,3367 DUNDAS ST W,,1.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4828,43.6655,January,Sunday
